Sub-Area,Type,Area,Price,Company,Township,Township Area,ClubHouse,School,Hospital,Mall,Park,Pool,Gym
wadgaon sheri,2.0,850,7.300000000000001,vijaya laxmi creations,Satyam Serenity,,1,0,0,0,1,0,1
wadgaon sheri,2.0,900,7.800000000000001,vijaya laxmi creations,Satyam Serenity,,1,0,0,0,1,0,1
wadgaon sheri,2.0,930,8.3,vijaya laxmi creations,Satyam Serenity,,1,0,0,0,1,0,1
baner,3.0,1863,17.5,kalpataru,jade residences,,0,0,0,0,1,1,0
baner,3.5,1740,25.0,kalpataru,jade residences,,0,0,0,0,1,1,0
bavdhan,1.0,405,3.9490000000000003,vijaya laxmi infrarealtors,Satyam Shery,,1,0,0,0,1,0,0
bavdhan,1.0,408,3.9490000000000003,vijaya laxmi infrarealtors,Satyam Shery,,1,0,0,0,1,0,0
bavdhan,1.0,392,3.9490000000000003,vijaya laxmi infrarealtors,Satyam Shery,,1,0,0,0,1,0,0
bavdhan,2.0,667,6.499,vijaya laxmi infrarealtors,Satyam Shery,,1,0,0,0,1,0,0
bavdhan,2.0,641,6.499,vijaya laxmi infrarealtors,Satyam Shery,,1,0,0,0,1,0,0
bavdhan,2.0,665,6.499,vijaya laxmi infrarealtors,Satyam Shery,,1,0,0,0,1,0,0
talegoan,1.0,280,1.319,calyx spaces,Atulya Kanhe,,1,0,0,0,1,1,1
talegoan,2.0,385,1.729,calyx spaces,Atulya Kanhe,,1,0,0,0,1,0,1
baner,2.0,730,8.700000000000001,supreme,SUPREME ESTIA,5.0,1,0,0,0,1,1,1
baner,3.0,1670,12.9,supreme,SUPREME ESTIA,5.0,1,0,0,0,1,1,1
baner,3.0,2000,16.0,supreme,SUPREME ESTIA,5.0,1,0,0,0,1,1,1
baner,4.0,1600,23.0,supreme,SUPREME ESTIA,5.0,1,0,0,0,1,1,1
baner,2.0,1173,9.5,tejraaj group,TEJ ELEVIA,2.5,0,0,0,0,1,1,1
baner,3.0,1657,13.5,tejraaj group,TEJ ELEVIA,2.5,0,0,0,0,1,1,1
baner,2.0,776,9.068000000000001,vtp reality,vtp solitaire,,1,0,0,0,1,1,1
